experiment_name,generated_at,engine,fallback_reason,frames_processed,total_person_detections,avg_persons_per_frame,max_persons_in_frame,min_persons_in_frame,avg_processing_time_ms,files
city_square_20260611_013521,2026-06-11T01:38:06,python_fallback,"Java hiện tại là 8, PySpark mới cần Java 17; dùng Python fallback",150,2172,14.48,19,10,70.4137,"{'report_summary': 'output\\experiments\\city_square_20260611_013521\\report\\report_summary.json', 'frames_by_person_count': 'output\\experiments\\city_square_20260611_013521\\report\\frames_by_person_count.csv', 'frame_level_report': 'output\\experiments\\city_square_20260611_013521\\report\\frame_level_report.csv'}"
crowd_city_20260611_013614,2026-06-11T01:38:06,python_fallback,"Java hiện tại là 8, PySpark mới cần Java 17; dùng Python fallback",150,1092,7.28,12,4,94.5005,"{'report_summary': 'output\\experiments\\crowd_city_20260611_013614\\report\\report_summary.json', 'frames_by_person_count': 'output\\experiments\\crowd_city_20260611_013614\\report\\frames_by_person_count.csv', 'frame_level_report': 'output\\experiments\\crowd_city_20260611_013614\\report\\frame_level_report.csv'}"
sidewalk_20260611_013714,2026-06-11T01:38:06,python_fallback,"Java hiện tại là 8, PySpark mới cần Java 17; dùng Python fallback",150,481,3.2067,8,0,72.7269,"{'report_summary': 'output\\experiments\\sidewalk_20260611_013714\\report\\report_summary.json', 'frames_by_person_count': 'output\\experiments\\sidewalk_20260611_013714\\report\\frames_by_person_count.csv', 'frame_level_report': 'output\\experiments\\sidewalk_20260611_013714\\report\\frame_level_report.csv'}"
